model_name,task_id,replicate,comparable_horizon,reasoning_change_percent
glm-4.7-flash,rescue-decision-v2,2,True,-40.121580547112465
glm-4.7-flash,rescue-decision-v2,3,False,-78.44961240310077
glm-5.1,cargo-decision-v2,1,True,-1.320754716981132
glm-5.1,cargo-decision-v2,2,True,-12.710280373831775
glm-5.1,cargo-decision-v2,3,True,-18.706293706293707
glm-5.1,data-center-recovery-v2,1,True,-20.069605568445475
glm-5.1,data-center-recovery-v2,2,True,6.961178045515395
glm-5.1,data-center-recovery-v2,3,True,0.24813895781637718
glm-5.1,flood-decision-v2,1,True,-11.934900542495479
glm-5.1,flood-decision-v2,2,True,-20.872865275142313
glm-5.1,flood-decision-v2,3,True,-17.790262172284645
glm-5.1,grid-decision-v2,1,True,-11.499272197962155
glm-5.1,grid-decision-v2,2,True,-51.4161220043573
glm-5.1,grid-decision-v2,3,True,-40.204865556978234
glm-5.1,hospital-decision-v2,1,True,-6.081081081081081
glm-5.1,hospital-decision-v2,2,True,-12.473118279569892
glm-5.1,hospital-decision-v2,3,True,-12.447257383966244
glm-5.1,manufacturing-recall-v2,1,True,-64.39588688946016
glm-5.1,manufacturing-recall-v2,2,True,-28.590250329380765
glm-5.1,manufacturing-recall-v2,3,True,-24.33862433862434
glm-5.1,orbital-observation-v2,1,True,-33.63636363636363
glm-5.1,orbital-observation-v2,2,True,-32.82051282051282
glm-5.1,orbital-observation-v2,3,True,-29.36802973977695
glm-5.1,vaccine-decision-v2,1,True,-25.955734406438633
glm-5.1,vaccine-decision-v2,2,True,-22.84569138276553
glm-5.1,vaccine-decision-v2,3,True,-41.97292069632495
glm-5.1,water-decision-v2,1,True,-20.244328097731238
glm-5.1,water-decision-v2,2,True,-40.13157894736842
glm-5.1,water-decision-v2,3,True,-18.434782608695652
glm-5.1,wildfire-evacuation-v2,1,True,-22.594142259414227
glm-5.1,wildfire-evacuation-v2,2,True,-10.445859872611464
glm-5.1,wildfire-evacuation-v2,3,True,-12.08955223880597
deepseek-v4-pro,cargo-decision-v2,1,True,-54.98442367601246
deepseek-v4-pro,cargo-decision-v2,2,True,-58.78594249201278
deepseek-v4-pro,cargo-decision-v2,3,True,-52.319109461966605
deepseek-v4-pro,data-center-recovery-v2,1,True,7.299270072992701
deepseek-v4-pro,data-center-recovery-v2,2,True,-1.0687022900763359
deepseek-v4-pro,data-center-recovery-v2,3,True,-12.192118226600986
deepseek-v4-pro,flood-decision-v2,1,True,-12.571428571428571
deepseek-v4-pro,flood-decision-v2,2,True,-30.53435114503817
deepseek-v4-pro,flood-decision-v2,3,True,-24.444444444444443
deepseek-v4-pro,grid-decision-v2,1,True,8.588957055214724
deepseek-v4-pro,grid-decision-v2,2,True,7.199100112485939
deepseek-v4-pro,grid-decision-v2,3,True,40.84158415841584
deepseek-v4-pro,manufacturing-recall-v2,1,True,-38.33049403747871
deepseek-v4-pro,manufacturing-recall-v2,2,True,-22.959183673469386
deepseek-v4-pro,manufacturing-recall-v2,3,True,-34.5945945945946
deepseek-v4-pro,network-decision-v2,1,True,-25.95744680851064
deepseek-v4-pro,network-decision-v2,2,True,-58.301886792452834
deepseek-v4-pro,network-decision-v2,3,True,-18.803418803418804
deepseek-v4-pro,vaccine-decision-v2,1,True,-48.16983894582723
deepseek-v4-pro,vaccine-decision-v2,2,True,-14.71774193548387
deepseek-v4-pro,vaccine-decision-v2,3,True,-43.37837837837838
deepseek-v4-pro,water-decision-v2,1,True,-38.808664259927795
deepseek-v4-pro,water-decision-v2,2,True,-37.35849056603774
deepseek-v4-pro,water-decision-v2,3,True,-49.858356940509914
deepseek-v4-pro,wildfire-evacuation-v2,1,True,-42.592592592592595
deepseek-v4-pro,wildfire-evacuation-v2,2,True,-33.80281690140845
deepseek-v4-pro,wildfire-evacuation-v2,3,True,-32.59668508287293
